,elevation,relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c,is_hot_day
268,74,20.62,60.0,8.0,29.88,6.21,36.0,10.0,34.28333333,0
269,74,15.3,60.0,11.0,29.94,6.21,39.0,8.0,36.90555556,1
270,74,28.63,20.0,9.0,29.94,6.21,36.0,15.0,36.0,0
271,74,23.81,30.0,12.0,29.85,6.21,37.0,13.0,36.16111111,1
272,74,17.51,60.0,13.0,29.85,6.21,39.0,10.0,37.37777778,1
273,74,15.3,50.0,17.0,29.8,3.73,39.0,8.0,36.90555556,1
274,74,32.81,30.0,7.0,29.8,6.21,37.0,18.0,38.61111111,1
275,74,43.88,40.0,14.0,29.83,6.21,34.0,20.0,36.48333333,0
276,74,35.81,350.0,7.0,29.94,6.21,32.0,15.0,32.0,0
277,74,31.17,360.0,9.0,29.91,6.21,31.0,12.0,29.84444444,0
278,74,35.25,30.0,7.0,29.91,6.21,30.0,13.0,29.18888889,0
279,74,42.52,320.0,8.0,29.88,6.21,29.0,15.0,28.84444444,0
280,74,37.62,330.0,7.0,29.85,6.21,30.0,14.0,29.42777778,0
281,74,37.62,360.0,8.0,29.91,6.21,30.0,14.0,29.42777778,0
282,74,31.45,10.0,10.0,29.77,6.21,32.0,13.0,30.98888889,0
283,74,37.62,320.0,8.0,29.91,6.21,30.0,14.0,29.42777778,0
284,74,35.53,40.0,8.0,29.97,6.21,31.0,14.0,30.32222222,0
285,74,21.79,40.0,9.0,29.94,6.21,35.0,10.0,33.27222222,0
286,74,10.81,260.0,7.0,29.8,6.21,39.0,3.0,35.90555556,1
287,74,14.08,220.0,12.0,29.77,1.24,38.0,6.0,35.57777778,1
288,74,19.28,60.0,10.0,29.85,6.21,36.0,9.0,34.08888889,0
289,74,31.99,30.0,10.0,29.88,6.21,34.0,15.0,34.0,0
290,74,30.26,50.0,6.0,29.85,6.21,35.0,15.0,35.0,0
291,74,17.74,310.0,3.0,29.83,3.73,40.0,11.0,38.71666667,1
292,74,36.35,360.0,9.0,29.94,6.21,34.0,17.0,34.0,0
293,74,43.34,50.0,12.0,30.0,6.21,32.0,18.0,32.90555556,0
294,74,48.32,20.0,11.0,30.0,6.21,29.0,17.0,29.46111111,0
295,74,42.25,20.0,11.0,30.0,6.21,28.0,14.0,27.82222222,0
296,74,41.97,10.0,9.0,29.97,6.21,27.0,13.0,26.96111111,0
297,74,39.3,40.0,9.0,30.0,6.21,27.0,12.0,27.0,0
298,74,37.35,50.0,13.0,30.0,6.21,29.0,13.0,28.38333333,0
299,74,26.05,60.0,13.0,29.94,6.21,33.0,11.0,31.49444444,0
